,0
individualized,1.0
gsp,1.0
multi,1.0
okay,1.0
epsilon,1.0
pretty,1.0
rectify,1.0
snippet,1.0
subgraph,0.6
vector,0.6
closeness,0.56
pattern,0.52
pattern -,0.52
pattern discovery,0.52
partition,0.44
learn,0.44
pattern mining,0.4
min,0.4
bag,0.4
unigram guide,0.4
support vector,0.36
instance,0.36
cluster analysis,0.36
support,0.32
pseudo - code,0.32
order,0.32
cluster,0.32
pattern mining method,0.32
clustering,0.32
median,0.28
document,0.28
network,0.28
subsequence,0.28
correlation,0.24
support ratio,0.24
chunk,0.24
redundancy,0.24
prefix,0.24
active,0.24
close,0.2
association,0.2
lift,0.16
statistic,0.16
compression,0.16
apriori,0.16
boost,0.16
bias,0.16
training,0.16
active learning,0.12
statistic analysis,0.12
similarity,0.12
range,0.12
rank,0.12
pattern evaluation,0.08
sequence,0.08
interestingness,0.08
item,0.08
cba,0.08
markov,0.08
classification,0.08
pattern analysis,0.08
frequent,0.08
subsequence mining,0.08
error rate,0.08
database,0.08
predicate,0.08
query,0.08
semantic,0.04
transaction,0.04
mean,0.04
t,0.04
massive,0.04
partition method,0.04
level,0.04
sql,0.04
itemset counting,0.04
itemset,0.04
positive,0.04
z,0.04
false positive,0.04
discretization,0.04
false negative,0.04
gene,0.04
anomaly,0.04
classifier,0.04
assert quality,0.04
extraction,0.04
attribute,0.04
indexing,0.04
c,0.04
stream length,0.0
stream,0.0
average,0.0
but,0.0
standard deviation,0.0
squared test,0.0
information retrieval,0.0
speech,0.0
similarity search,0.0
class,0.0
shopping basket,0.0
shopping,0.0
sensitive,0.0
coke,0.0
combine significance,0.0
completeness,0.0
concept hierarchy,0.0
chi,0.0
association rule,0.0
structure,0.0
text,0.0
actually,0.0
variable,0.0
value,0.0
algorithm,0.0
uncertainty,0.0
true,0.0
trend,0.0
application,0.0
top,0.0
test,0.0
random forest,0.0
technology,0.0
table,0.0
approximate,0.0
support vector machine,0.0
apriori mining,0.0
support threshold,0.0
apriori property,0.0
array,0.0
subspace clustering,0.0
confidence,0.0
prune,0.0
constraint,0.0
machine,0.0
mining,0.0
minimum description length,0.0
fp - tree,0.0
method,0.0
measure,0.0
generalization,0.0
hiding,0.0
hour,0.0
machine learning,0.0
hybrid tree,0.0
data cube,0.0
id,0.0
imbalance,0.0
language,0.0
knowledge discovery,0.0
knowledge,0.0
itemset mining,0.0
imbalance ratio,0.0
imply,0.0
index,0.0
model,0.0
fp -,0.0
mutual information,0.0
neighborhood,0.0
information processing,0.0
property,0.0
probability,0.0
data stream,0.0
data visualization,0.0
prediction,0.0
datum,0.0
datum format,0.0
popularity,0.0
datum mining,0.0
density - base method,0.0
dimension,0.0
distribution,0.0
distribution -,0.0
eclat,0.0
efficiency,0.0
exception,0.0
outlier,0.0
null,0.0
accuracy,0.0
